,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_train_accuracy,mean_train_balanced_accuracy,mean_train_f1,param_krr__alpha,param_krr__gamma,params,rank_test_accuracy,rank_test_balanced_accuracy,rank_test_f1,split0_test_accuracy,split0_test_balanced_accuracy,split0_test_f1,split0_train_accuracy,split0_train_balanced_accuracy,split0_train_f1,split1_test_accuracy,split1_test_balanced_accuracy,split1_test_f1,split1_train_accuracy,split1_train_balanced_accuracy,split1_train_f1,split2_test_accuracy,split2_test_balanced_accuracy,split2_test_f1,split2_train_accuracy,split2_train_balanced_accuracy,split2_train_f1,split3_test_accuracy,split3_test_balanced_accuracy,split3_test_f1,split3_train_accuracy,split3_train_balanced_accuracy,split3_train_f1,split4_test_accuracy,split4_test_balanced_accuracy,split4_test_f1,split4_train_accuracy,split4_train_balanced_accuracy,split4_train_f1,std_fit_time,std_score_time,std_test_accuracy,std_test_balanced_accuracy,std_test_f1,std_train_accuracy,std_train_balanced_accuracy,std_train_f1
136,114.55454444885254,6.6296630859375,0.6560839397529193,0.5526340435110889,0.6135854685558173,0.6575731934337451,0.5539347426977189,0.6152132549307038,1000.0,0.001,"{'krr__alpha': 1000, 'krr__gamma': 0.001}",97,108,108,0.6532408190895245,0.5455479452054794,0.608595988538682,0.658444745303774,0.5570584710213167,0.617157490396927,0.6662717887967508,0.5732876712328767,0.6293233082706767,0.6545946860720934,0.548497560140399,0.610830393745829,0.6515484853613133,0.5441780821917809,0.6068359747947297,0.6589947537654426,0.5559455526067973,0.6170657544659824,0.6608563208664748,0.5571917808219178,0.6188664891593763,0.6564139448299204,0.5495248694461091,0.6125292237225061,0.6485022846505331,0.5429647381033893,0.604305582015622,0.6594178371974954,0.5586472602739726,0.618483412322275,1.206822177842826,0.1666888638599534,0.00652231654198751,0.011511358265317672,0.009296619262689754,0.001810994780932975,0.004123561404744268,0.0029772212257216397
114,116.65292849540712,6.64411768913269,0.6528346589947539,0.6505032523108525,0.6492687024729158,0.6547639194449145,0.652968963473056,0.6514956768920717,10.0,1e-05,"{'krr__alpha': 10, 'krr__gamma': 1e-05}",98,59,77,0.6457945506853952,0.6352739726027398,0.6393244873341376,0.6561600947706888,0.6544816368461605,0.652944442071999,0.6632255880859705,0.6801369863013699,0.6662193894666221,0.6517177187341344,0.6491738720999914,0.6481750576972392,0.6471484176679642,0.6339041095890411,0.6397096941420425,0.6556947029954306,0.6549096823902063,0.6527860738970903,0.6557793196818412,0.6506849315068494,0.6513541309564622,0.6554831612794043,0.6539679821933053,0.6523205670125102,0.6522254188525978,0.6525162615542622,0.6497358104653145,0.6547639194449145,0.6523116438356165,0.6512522437815198,3.0516260587489694,0.3392900470331058,0.00630729851720335,0.016671568032384086,0.00981992918906404,0.0015882261265355,0.00209224265744514,0.0017623995122747309
103,113.94098582267763,6.6058259963989245,0.6516838720595702,0.6537223365989316,0.6496502115663562,0.6536131325097309,0.655229098184266,0.6515250114209342,1.0,1e-06,"{'krr__alpha': 1, 'krr__gamma': 1e-06}",99,58,73,0.646979184295143,0.6404109589041096,0.641949879848953,0.6551023861905568,0.6565362554575807,0.652958705832269,0.6617024877305805,0.6821917808219178,0.6658866789236169,0.6508715518700288,0.6517421453642668,0.6485220206150439,0.646979184295143,0.638013698630137,0.6410874053682036,0.6544677610424776,0.6566218645663898,0.6525715744246395,0.6537485192079878,0.6541095890410958,0.6512103648141834,0.6534523608055508,0.6557657734782981,0.6516098847348051,0.6490099847689964,0.6538856555973982,0.6481167288768239,0.6541716026400406,0.6554794520547945,0.6519628714979137,3.293371986711757,0.3092214844200357,0.0055866497111430906,0.015713942693568683,0.008955727531634235,0.0014698481068560144,0.0017976649149920726,0.0015727461646749413
92,114.2303388118744,6.488666915893555,0.6514130986630564,0.654064732006772,0.6495928322282742,0.6535454391606026,0.6557769994124635,0.6516704562227714,0.1,1e-07,"{'krr__alpha': 0.1, 'krr__gamma': 1e-07}",100,55,74,0.6464714841766797,0.6404109589041096,0.6416194887630812,0.6553985445929937,0.6577347829809091,0.6535664157203012,0.6606870874936538,0.6821917808219178,0.6652195692102187,0.6505753934675919,0.6522558000171218,0.6485083202110907,0.6466407175495008,0.6383561643835617,0.6409903713892711,0.6543408360128617,0.6569643010016266,0.6526065141593673,0.653917752580809,0.6544520547945205,0.6514402590761887,0.6534100524623456,0.6562794281311531,0.6517599047780989,0.6493484515146387,0.6549127011297501,0.6486944727026109,0.6540023692672194,0.6556506849315068,0.6519111262449987,4.994884595652514,0.2823068996046044,0.005361680765398447,0.015653654923608006,0.008786256119635249,0.001619564262084761,0.0018926086078068683,0.0017050451100750585
70,113.7341335773468,6.690883159637451,0.6513454053139279,0.654064732006772,0.6495486278534613,0.6535369774919615,0.6557941212342253,0.6516708278024137,0.001,1e-09,"{'krr__alpha': 0.001, 'krr__gamma': 1e-09}",101,55,75,0.6464714841766797,0.6404109589041096,0.6416194887630812,0.6553985445929937,0.6577347829809091,0.6535664157203012,0.6605178541208326,0.6821917808219178,0.6651085141903171,0.6505753934675919,0.6522558000171218,0.6485083202110907,0.6466407175495008,0.6383561643835617,0.6409903713892711,0.6543408360128617,0.6569643010016266,0.6526065141593673,0.653917752580809,0.6544520547945205,0.6514402590761887,0.6534100524623456,0.6563650372399623,0.6517895094788745,0.6491792181418176,0.6549127011297501,0.6485845058484488,0.6539600609240143,0.6556506849315068,0.6518833794424346,2.466293450685185,0.31569087240163396,0.00531662202256657,0.015653654923608006,0.00874908981735437,0.001617263743505773,0.0018974574987085453,0.001704668901470817
81,113.7690981388092,6.32109694480896,0.6513454053139279,0.654064732006772,0.6495486278534613,0.6535454391606026,0.6557941212342253,0.6516763771629265,0.01,1e-08,"{'krr__alpha': 0.01, 'krr__gamma': 1e-08}",101,55,75,0.6464714841766797,0.6404109589041096,0.6416194887630812,0.6553985445929937,0.6577347829809091,0.6535664157203012,0.6605178541208326,0.6821917808219178,0.6651085141903171,0.6505753934675919,0.6522558000171218,0.6485083202110907,0.6466407175495008,0.6383561643835617,0.6409903713892711,0.6543408360128617,0.6569643010016266,0.6526065141593673,0.653917752580809,0.6544520547945205,0.6514402590761887,0.6534100524623456,0.6563650372399623,0.6517895094788745,0.6491792181418176,0.6549127011297501,0.6485845058484488,0.6540023692672194,0.6556506849315068,0.6519111262449987,2.2486419931304655,0.4312018666505671,0.00531662202256657,0.015653654923608006,0.00874908981735437,0.001619564262084761,0.0018974574987085453,0.0017053968149982758
13,112.47553153038022,6.662035608291626,0.6477238111355559,0.6043427612048792,0.6289894004103462,1.0,1.0,1.0,1e-12,1e-06,"{'krr__alpha': 1e-12, 'krr__gamma': 1e-06}",103,91,105,0.6532408190895245,0.6171232876712329,0.6375375906598266,1.0,1.0,1.0,0.6584870536469792,0.6188356164383562,0.6416903409090909,1.0,1.0,1.0,0.644102216957184,0.5921232876712329,0.6218306060061141,1.0,1.0,1.0,0.6415637163648672,0.5979452054794521,0.6224598930481283,1.0,1.0,1.0,0.6412252496192249,0.5956864087641218,0.6214285714285713,1.0,1.0,1.0,2.9598682192245622,0.4491312646363944,0.006922120771585618,0.011300985796413716,0.008779913264958103,0.0,0.0,0.0
3,154.70395908355712,8.270568037033081,0.6463022508038585,0.6040003892455671,0.6279096345523563,1.0,1.0,1.0,1e-14,1e-06,"{'krr__alpha': 1e-14, 'krr__gamma': 1e-06}",104,92,106,0.6522254188525978,0.6167808219178083,0.6367332508396678,1.0,1.0,1.0,0.6569639532915891,0.6198630136986302,0.6410483442535859,1.0,1.0,1.0,0.6422406498561516,0.5907534246575342,0.620057512580877,1.0,1.0,1.0,0.6412252496192249,0.5982876712328767,0.6223726398289989,1.0,1.0,1.0,0.6388559823997292,0.594317014720986,0.6193364252586514,1.0,1.0,1.0,2.830917735323037,0.5262512489882185,0.007021043741553039,0.011973698458713787,0.009124647331420946,0.0,0.0,0.0
135,113.43243026733398,6.6004961967468265,0.6417667964122524,0.6072873804711278,0.6261778888139826,0.6416652563885598,0.6070817144807221,0.6260980735089591,1000.0,0.0001,"{'krr__alpha': 1000, 'krr__gamma': 0.0001}",105,90,107,0.6402098493822982,0.5989726027397261,0.6219772403982932,0.6424944999153833,0.6089375909596781,0.6273593226318575,0.6496869182602809,0.6304794520547945,0.640125173852573,0.6393636825181925,0.6038866535399366,0.6233651466949451,0.6356405483161279,0.5917808219178082,0.6161526118737743,0.6433406667794889,0.6094512456125332,0.6281101111699311,0.6459637840582163,0.6109589041095891,0.6303886925795052,0.6408867828735827,0.6055988357161202,0.6250220887082524,0.6373328820443391,0.6042451215337213,0.6222457253657676,0.6422406498561516,0.6075342465753425,0.6266336983398093,2.0983126106921683,0.3663897702265844,0.005290701877810389,0.01319239551030875,0.008317104815054448,0.0013949183303431985,0.0020818782112441555,0.0017060229260307859
124,114.98568315505982,5.998927736282349,0.6394652225418853,0.6319432264236774,0.6339778422507876,0.6398629209680149,0.6328162479638518,0.6346035209510925,100.0,1e-05,"{'krr__alpha': 100, 'krr__gamma': 1e-05}",106,69,104,0.6380098155356236,0.6232876712328768,0.6298667589548365,0.6407598578439668,0.6338498416231487,0.635563758101206,0.6449483838212896,0.6520547945205479,0.6447680325093125,0.6379251988492131,0.6308535228148275,0.6326407967032966,0.6344559147063801,0.6198630136986302,0.6262975778546712,0.6412252496192249,0.6344491053848129,0.6360827396789974,0.6419021831105094,0.6356164383561644,0.6369251887439945,0.6393636825181925,0.6319664412293468,0.6339745791824115,0.6380098155356236,0.6288942143101678,0.6320316531911234,0.640040616009477,0.6329623287671233,0.634755731089551,3.962153299807994,0.5835355021221436,0.003614786813287678,0.011385203618976191,0.006399846499450469,0.0011572395327316815,0.0012907625891257846,0.001215003339663698
113,116.7624285697937,6.741248607635497,0.6390252157725503,0.6352307100683291,0.6348959893108024,0.6397106109324758,0.6359495882553685,0.6356499658193381,10.0,1e-06,"{'krr__alpha': 10, 'krr__gamma': 1e-06}",107,67,103,0.6378405821628025,0.6263698630136987,0.6309072093825457,0.6405060077847351,0.6372742059755158,0.6366474235621125,0.6446099170756473,0.6565068493150685,0.6461071789686552,0.6377982738195972,0.6336786234055304,0.6335972608602611,0.6337789812150956,0.6236301369863013,0.6272821219428177,0.6410560162464037,0.6376166424107526,0.6371257485029941,0.6412252496192249,0.638013698630137,0.6373588778652071,0.6392367574885768,0.6354764146905231,0.6351773413768023,0.6376713487899813,0.6316330023964396,0.6328245583947865,0.6399559993230665,0.6357020547945206,0.6357020547945206,2.1350004997441494,0.55126876960618,0.0036548140089201217,0.011717086100487549,0.006479641367065222,0.0011300050790287667,0.00141252462261155,0.0012338996111544956
102,113.01443810462952,6.682677841186522,0.6389236757488577,0.6355731523732255,0.6349570459137629,0.6397359959383989,0.6363605222390183,0.6358158894187254,1.0,1e-07,"{'krr__alpha': 1, 'krr__gamma': 1e-07}",108,66,102,0.6375021154171603,0.6263698630136987,0.6306896551724138,0.6406329328143511,0.6377022515195617,0.6368844049247606,0.6442714503300051,0.6565068493150685,0.64588948787062,0.6374598070739549,0.6337642325143396,0.6334117647058823,0.6336097478422745,0.6243150684931507,0.6274307348132852,0.6411829412760196,0.6381302970636076,0.6373936465860021,0.6415637163648672,0.6386986301369864,0.6378248974008209,0.6392790658317821,0.6359044602345689,0.6353605337439056,0.6376713487899813,0.6319753509072236,0.6329504543116748,0.6401252326958876,0.6363013698630137,0.6360290971330765,4.285356360796167,0.3661488970954676,0.003671389214177481,0.011596356686299693,0.006428456294787514,0.001299189954689964,0.0015417232100464336,0.001390227680668344
91,115.89880051612856,6.3953243732452405,0.6388898290742935,0.6356416455239106,0.6349591810537826,0.6397190726011169,0.6363605222390183,0.6358049896086004,0.1,1e-08,"{'krr__alpha': 0.1, 'krr__gamma': 1e-08}",109,64,100,0.637163648671518,0.6263698630136987,0.630472250947949,0.6406329328143511,0.6377022515195617,0.6368844049247606,0.6444406837028261,0.6568493150684932,0.6461175677951828,0.6374598070739549,0.6337642325143396,0.6334117647058823,0.6336097478422745,0.6243150684931507,0.6274307348132852,0.641098324589609,0.6381302970636076,0.6373391475353769,0.6415637163648672,0.6386986301369864,0.6378248974008209,0.6392790658317821,0.6359044602345689,0.6353605337439056,0.6376713487899813,0.6319753509072236,0.6329504543116748,0.6401252326958876,0.6363013698630137,0.6360290971330765,4.668201114039927,0.4972910776703983,0.0037498082925050053,0.011720148606596734,0.006535548217976723,0.0012806505564718633,0.0015417232100464336,0.0013779744992002407
80,112.91653356552123,6.602466249465943,0.6388898290742935,0.6356416455239106,0.6349591810537826,0.6397190726011169,0.6363605222390183,0.6358049896086004,0.01,1e-09,"{'krr__alpha': 0.01, 'krr__gamma': 1e-09}",109,64,100,0.637163648671518,0.6263698630136987,0.630472250947949,0.6406329328143511,0.6377022515195617,0.6368844049247606,0.6444406837028261,0.6568493150684932,0.6461175677951828,0.6374598070739549,0.6337642325143396,0.6334117647058823,0.6336097478422745,0.6243150684931507,0.6274307348132852,0.641098324589609,0.6381302970636076,0.6373391475353769,0.6415637163648672,0.6386986301369864,0.6378248974008209,0.6392790658317821,0.6359044602345689,0.6353605337439056,0.6376713487899813,0.6319753509072236,0.6329504543116748,0.6401252326958876,0.6363013698630137,0.6360290971330765,2.3506531668410147,0.2358623930825161,0.0037498082925050053,0.011720148606596734,0.006535548217976723,0.0012806505564718633,0.0015417232100464336,0.0013779744992002407
101,114.5274929523468,6.467679357528686,0.6357082416652563,0.5148968030276739,0.5827352292404904,0.6358605517007954,0.5151873681414496,0.5830510227223812,1.0,1e-08,"{'krr__alpha': 1, 'krr__gamma': 1e-08}",111,110,110,0.6325943476053478,0.5044520547945206,0.5757279656048466,0.636402098493823,0.5155380532488657,0.5835836805892044,0.6449483838212896,0.5373287671232877,0.5993124522536287,0.6339059062447114,0.5129697799845904,0.5807045597712847,0.6302250803858521,0.5037671232876713,0.5738248488394773,0.6371213403283127,0.5163085352281482,0.5844275400939967,0.6412252496192249,0.5222602739726028,0.5899419729206964,0.6345828397359959,0.5128841708757812,0.5811145060381202,0.6295481468945676,0.5066757959602876,0.5748689065838027,0.6372905737011338,0.518236301369863,0.5854248271192998,4.140706124258801,0.5898978040313242,0.006221346562345054,0.013099322207768757,0.010169730891118051,0.0013697452710448588,0.00204442678471046,0.0018476718887057647
